PERMNO,date,TICKER,PRC,VOL
14593,20070103,AAPL,83.80000,44545733
14593,20070104,AAPL,85.66000,34097551
14593,20070105,AAPL,85.05000,29842335
14593,20070108,AAPL,85.47000,28490191
14593,20070109,AAPL,92.57000,119827814
14593,20070110,AAPL,97.00000,105660143
14593,20070111,AAPL,95.80000,51550184
14593,20070112,AAPL,94.62000,46920920
14593,20070116,AAPL,97.10000,44489274
14593,20070117,AAPL,94.95000,60053850
14593,20070118,AAPL,89.07000,84566630
14593,20070119,AAPL,88.50000,48789206
14593,20070122,AAPL,86.79000,52005857
14593,20070123,AAPL,85.70000,43198158
14593,20070124,AAPL,86.70000,33186526
14593,20070125,AAPL,86.25000,32394129
14593,20070126,AAPL,85.38000,35265530
14593,20070129,AAPL,85.94000,32269617
14593,20070130,AAPL,85.55000,20724817
14593,20070131,AAPL,85.73000,30594170
14593,20070201,AAPL,84.74000,23762229
14593,20070202,AAPL,84.75000,22234448
14593,20070205,AAPL,83.94000,20737742
14593,20070206,AAPL,84.15000,30942175
14593,20070207,AAPL,86.15000,38320972
14593,20070208,AAPL,86.18000,24265950
14593,20070209,AAPL,83.27000,30756328
14593,20070212,AAPL,84.88000,25882055
14593,20070213,AAPL,84.63000,20789841
14593,20070214,AAPL,85.30000,18157443
14593,20070215,AAPL,85.21000,12997117
14593,20070216,AAPL,84.83000,14308642
14593,20070220,AAPL,85.90000,22070251
14593,20070221,AAPL,89.20000,41499945
14593,20070222,AAPL,89.51000,29981556
14593,20070223,AAPL,89.07000,18532199
14593,20070226,AAPL,88.65000,22044891
14593,20070227,AAPL,83.93000,41004407
14593,20070228,AAPL,84.61000,32850000
14593,20070301,AAPL,87.06000,50568882
14593,20070302,AAPL,85.41000,30751061
14593,20070305,AAPL,86.31990,29998978
14593,20070306,AAPL,88.19000,25869393
14593,20070307,AAPL,87.72000,22511894
14593,20070308,AAPL,88.00000,18287614
14593,20070309,AAPL,87.97000,16185955
14593,20070312,AAPL,89.87000,26099179
14593,20070313,AAPL,88.40000,31029326
14593,20070314,AAPL,90.00000,28456756
14593,20070315,AAPL,89.57000,19991357
14593,20070316,AAPL,89.59000,20451851
14593,20070319,AAPL,91.13000,25471557
14593,20070320,AAPL,91.48000,17484384
14593,20070321,AAPL,93.87000,24558152
14593,20070322,AAPL,93.96000,20210212
14593,20070323,AAPL,93.52000,16134397
14593,20070326,AAPL,95.85000,30943304
14593,20070327,AAPL,95.46000,33323115
14593,20070328,AAPL,93.24000,33942531
14593,20070329,AAPL,93.75000,25937948
